Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1884-01-01,5.18,0.33,0.39,9.23,3.62,140.22,8.89,10.63,14.43
1884-02-01,5.32,0.33,0.39,9.23,3.61,144.01,8.84,10.42,14.81
1884-03-01,5.3,0.33,0.38,9.23,3.6,143.47,8.8,10.22,14.74
1884-04-01,5.06,0.32,0.37,9.04,3.59,139.86,8.94,10.23,14.35
1884-05-01,4.65,0.32,0.36,8.85,3.59,131.29,9.08,10.24,13.47
1884-06-01,4.46,0.32,0.35,8.85,3.58,125.93,9.04,10.02,12.91
1884-07-01,4.46,0.32,0.35,8.75,3.57,127.29,9.08,9.92,13.04
1884-08-01,4.74,0.32,0.34,8.75,3.56,135.29,9.04,9.7,13.86
1884-09-01,4.59,0.32,0.33,8.66,3.55,132.45,9.09,9.59,13.57
1884-10-01,4.44,0.31,0.33,8.56,3.54,129.54,9.14,9.48,13.27
1884-11-01,4.35,0.31,0.32,8.37,3.54,129.8,9.3,9.47,13.3
1884-12-01,4.34,0.31,0.31,8.28,3.53,130.99,9.36,9.36,13.43
1885-01-01,4.24,0.3,0.31,8.28,3.52,127.97,9.18,9.26,13.13
1885-02-01,4.37,0.3,0.3,8.37,3.51,130.4,8.9,9.05,13.38
1885-03-01,4.38,0.29,0.3,8.18,3.5,133.73,8.93,9.16,13.73
1885-04-01,4.37,0.29,0.3,8.28,3.48,131.89,8.65,8.95,13.55
1885-05-01,4.32,0.28,0.29,8.09,3.47,133.45,8.67,9.06,13.71
1885-06-01,4.3,0.28,0.29,7.9,3.46,136.04,8.7,9.17,13.98
1885-07-01,4.46,0.27,0.29,7.99,3.44,139.42,8.42,8.96,14.33
1885-08-01,4.71,0.26,0.28,7.99,3.43,147.23,8.23,8.86,15.13
1885-09-01,4.65,0.26,0.28,7.9,3.42,147.11,8.15,8.86,15.12
1885-10-01,4.92,0.25,0.28,7.9,3.41,155.65,7.96,8.75,15.99
1885-11-01,5.24,0.25,0.27,7.99,3.4,163.8,7.68,8.54,16.82
1885-12-01,5.2,0.24,0.27,8.18,3.38,158.77,7.33,8.24,16.3
1886-01-01,5.2,0.24,0.28,7.99,3.37,162.55,7.45,8.6,16.69
1886-02-01,5.3,0.24,0.28,7.99,3.38,165.68,7.4,8.75,17.01
1886-03-01,5.19,0.23,0.28,7.9,3.4,164.19,7.43,9.02,16.84
1886-04-01,5.12,0.23,0.29,7.8,3.41,163.95,7.47,9.29,16.8
1886-05-01,5.02,0.23,0.29,7.61,3.42,164.77,7.61,9.68,16.86
1886-06-01,5.25,0.23,0.3,7.52,3.43,174.5,7.64,9.97,17.83
1886-07-01,5.33,0.23,0.3,7.61,3.44,174.95,7.49,10.01,17.85
1886-08-01,5.37,0.23,0.31,7.71,3.46,174.08,7.35,10.05,17.72
1886-09-01,5.51,0.23,0.32,7.71,3.47,178.62,7.29,10.21,18.15
1886-10-01,5.65,0.22,0.32,7.71,3.48,183.16,7.24,10.37,18.56
1886-11-01,5.79,0.22,0.33,7.71,3.5,187.7,7.19,10.54,18.97
1886-12-01,5.64,0.22,0.33,7.8,3.51,180.61,7.04,10.57,18.19
1887-01-01,5.58,0.22,0.33,7.99,3.52,174.43,6.96,10.39,17.51
1887-02-01,5.54,0.23,0.34,8.09,3.53,171.14,6.95,10.35,17.13
1887-03-01,5.67,0.23,0.34,8.09,3.55,175.16,7.03,10.43,17.47
1887-04-01,5.8,0.23,0.34,8.09,3.56,179.17,7.11,10.5,17.82
1887-05-01,5.9,0.23,0.34,8.09,3.57,182.26,7.18,10.58,18.08
1887-06-01,5.73,0.23,0.34,7.99,3.58,179.12,7.35,10.78,17.71
1887-07-01,5.59,0.24,0.35,7.9,3.59,176.85,7.51,10.99,17.43
1887-08-01,5.45,0.24,0.35,7.99,3.61,170.37,7.5,10.94,16.74
1887-09-01,5.38,0.24,0.35,7.9,3.62,170.2,7.67,11.15,16.68
1887-10-01,5.2,0.24,0.35,7.99,3.63,162.55,7.66,11.1,15.88
1887-11-01,5.3,0.25,0.36,8.09,3.65,163.73,7.65,11.04,15.95
1887-12-01,5.27,0.25,0.36,8.28,3.66,159.06,7.55,10.87,15.46
1888-01-01,5.31,0.25,0.35,8.37,3.67,158.44,7.41,10.49,15.36
1888-02-01,5.28,0.25,0.34,8.28,3.65,159.36,7.45,10.36,15.42
1888-03-01,5.08,0.24,0.34,8.28,3.63,153.32,7.39,10.11,14.81
1888-04-01,5.1,0.24,0.33,8.18,3.62,155.72,7.43,9.98,15.02
1888-05-01,5.17,0.24,0.32,8.09,3.6,159.71,7.47,9.83,15.39
1888-06-01,5.01,0.24,0.31,7.99,3.58,156.61,7.5,9.69,15.08
1888-07-01,5.14,0.24,0.3,8.09,3.56,158.78,7.36,9.32,15.28
1888-08-01,5.25,0.24,0.29,8.09,3.54,162.18,7.31,9.06,15.6
1888-09-01,5.38,0.23,0.28,8.09,3.52,166.2,7.26,8.8,15.99
1888-10-01,5.35,0.23,0.28,8.18,3.5,163.35,7.12,8.45,15.72
1888-11-01,5.24,0.23,0.27,8.28,3.49,158.15,6.99,8.1,15.22
1888-12-01,5.14,0.23,0.26,8.28,3.47,155.13,6.94,7.85,14.95
1889-01-01,5.24,0.23,0.26,7.99,3.45,163.8,7.16,8.23,15.8
1889-02-01,5.3,0.23,0.27,7.9,3.45,167.67,7.22,8.44,16.19
1889-03-01,5.19,0.23,0.27,7.8,3.44,166.2,7.29,8.65,16.07
1889-04-01,5.18,0.23,0.27,7.8,3.44,165.88,7.26,8.75,16.05
1889-05-01,5.32,0.23,0.28,7.61,3.44,174.62,7.41,9.08,16.92
1889-06-01,5.41,0.23,0.28,7.61,3.44,177.57,7.39,9.19,17.22
1889-07-01,5.3,0.22,0.28,7.61,3.44,173.96,7.36,9.3,16.89
1889-08-01,5.37,0.22,0.29,7.61,3.43,176.26,7.33,9.41,17.13
1889-09-01,5.5,0.22,0.29,7.71,3.43,178.3,7.21,9.4,17.35
1889-10-01,5.4,0.22,0.29,7.71,3.43,175.05,7.19,9.51,17.05
1889-11-01,5.35,0.22,0.3,7.71,3.43,173.43,7.16,9.62,16.91
1889-12-01,5.32,0.22,0.3,7.8,3.42,170.36,7.04,9.61,16.61
1890-01-01,5.38,0.22,0.3,7.61,3.42,176.59,7.22,9.82,17.22
1890-02-01,5.32,0.22,0.3,7.61,3.44,174.62,7.22,9.79,17.03
1890-03-01,5.28,0.22,0.3,7.61,3.45,173.3,7.22,9.76,16.9
1890-04-01,5.39,0.22,0.3,7.61,3.47,176.91,7.22,9.74,17.26
1890-05-01,5.62,0.22,0.3,7.71,3.49,182.19,7.13,9.59,17.79
1890-06-01,5.58,0.22,0.29,7.71,3.5,180.89,7.13,9.56,17.68
1890-07-01,5.54,0.22,0.29,7.71,3.52,179.59,7.13,9.54,17.59
1890-08-01,5.41,0.22,0.29,7.99,3.54,169.12,6.88,9.17,16.6
1890-09-01,5.32,0.22,0.29,8.09,3.55,164.35,6.8,9.04,16.17
1890-10-01,5.08,0.22,0.29,8.09,3.57,156.93,6.8,9.01,15.48
1890-11-01,4.71,0.22,0.29,7.9,3.59,149.01,6.96,9.2,14.75
1890-12-01,4.6,0.22,0.29,7.9,3.6,145.53,6.96,9.17,14.44
1891-01-01,4.84,0.22,0.29,7.8,3.62,154.99,7.04,9.42,15.43
1891-02-01,4.9,0.22,0.3,7.9,3.62,155.02,6.96,9.44,15.48
1891-03-01,4.81,0.22,0.3,7.99,3.62,150.36,6.88,9.46,15.05
1891-04-01,4.97,0.22,0.31,8.09,3.61,153.53,6.8,9.47,15.41
1891-05-01,4.95,0.22,0.31,7.99,3.61,154.74,6.88,9.72,15.57
1891-06-01,4.85,0.22,0.32,7.8,3.61,155.31,7.04,10.09,15.66
1891-07-01,4.77,0.22,0.32,7.71,3.61,154.63,7.13,10.35,15.62
1891-08-01,4.93,0.22,0.32,7.71,3.61,159.82,7.13,10.48,16.16
1891-09-01,5.33,0.22,0.33,7.61,3.61,174.95,7.22,10.75,17.71
1891-10-01,5.33,0.22,0.33,7.61,3.6,174.95,7.22,10.89,17.72
1891-11-01,5.25,0.22,0.34,7.52,3.6,174.5,7.31,11.16,17.67
1891-12-01,5.41,0.22,0.34,7.52,3.6,179.82,7.31,11.3,18.21
1892-01-01,5.51,0.22,0.34,7.33,3.6,187.9,7.56,11.68,19.02
1892-02-01,5.52,0.22,0.34,7.33,3.61,188.24,7.61,11.77,19.04
1892-03-01,5.58,0.23,0.35,7.14,3.63,195.36,7.88,12.17,19.74
1892-04-01,5.57,0.23,0.35,7.04,3.64,197.65,8.04,12.42,19.94
1892-05-01,5.57,0.23,0.35,7.04,3.65,197.65,8.1,12.51,19.91
1892-06-01,5.54,0.23,0.35,7.04,3.66,196.58,8.16,12.6,19.77
1892-07-01,5.54,0.23,0.36,7.23,3.67,191.41,8.01,12.35,19.21
1892-08-01,5.62,0.23,0.36,7.33,3.69,191.65,7.96,12.28,19.2
1892-09-01,5.48,0.23,0.36,7.33,3.7,186.88,8.01,12.36,18.69
1892-10-01,5.59,0.24,0.36,7.33,3.71,190.63,8.07,12.45,19.04
1892-11-01,5.57,0.24,0.37,7.52,3.73,185.14,7.92,12.22,18.46
1892-12-01,5.51,0.24,0.37,7.61,3.74,180.85,7.88,12.14,18.01
1893-01-01,5.61,0.24,0.36,7.9,3.75,177.48,7.62,11.41,17.66
1893-02-01,5.51,0.24,0.35,7.99,3.75,172.24,7.56,10.99,17.13
1893-03-01,5.31,0.24,0.34,7.8,3.74,170.04,7.77,10.97,16.9
1893-04-01,5.31,0.24,0.33,7.71,3.74,172.14,7.89,10.8,17.1
1893-05-01,4.84,0.24,0.32,7.61,3.73,158.86,8.02,10.64,15.78
1893-06-01,4.61,0.24,0.32,7.42,3.73,155.19,8.25,10.6,15.42
1893-07-01,4.18,0.25,0.31,7.23,3.73,144.42,8.49,10.57,14.35
1893-08-01,4.08,0.25,0.3,6.95,3.72,146.76,8.87,10.67,14.59
1893-09-01,4.37,0.25,0.29,7.23,3.72,150.98,8.55,9.93,15.01
1893-10-01,4.5,0.25,0.28,7.33,3.71,153.46,8.47,9.49,15.27
1893-11-01,4.57,0.25,0.27,7.14,3.71,160,8.72,9.42,15.94
1893-12-01,4.41,0.25,0.26,7.04,3.7,156.48,8.87,9.23,15.61
1894-01-01,4.32,0.25,0.25,6.85,3.7,157.55,9,9.18,15.74
1894-02-01,4.38,0.24,0.24,6.76,3.68,161.99,9,9,16.2
1894-03-01,4.51,0.24,0.23,6.57,3.66,171.63,9.13,8.94,17.19
1894-04-01,4.57,0.24,0.23,6.57,3.64,173.91,9.01,8.63,17.43
1894-05-01,4.4,0.23,0.22,6.57,3.62,167.44,8.88,8.31,16.81
1894-06-01,4.34,0.23,0.21,6.57,3.6,165.16,8.75,7.99,16.61
1894-07-01,4.25,0.23,0.2,6.57,3.58,161.74,8.63,7.68,16.29
1894-08-01,4.41,0.22,0.19,6.76,3.56,163.1,8.26,7.15,16.46
1894-09-01,4.48,0.22,0.18,6.85,3.54,163.38,8.02,6.75,16.52
1894-10-01,4.34,0.22,0.18,6.66,3.52,162.8,8.13,6.63,16.5
1894-11-01,4.34,0.21,0.17,6.66,3.5,162.8,8,6.31,16.54
1894-12-01,4.3,0.21,0.16,6.57,3.48,163.64,7.99,6.09,16.67
1895-01-01,4.25,0.21,0.17,6.57,3.46,161.74,7.93,6.37,16.52
1895-02-01,4.19,0.21,0.17,6.57,3.47,159.45,7.87,6.66,16.33
1895-03-01,4.19,0.2,0.18,6.57,3.48,159.45,7.8,6.95,16.36
1895-04-01,4.37,0.2,0.19,6.85,3.5,159.37,7.41,6.93,16.39
1895-05-01,4.61,0.2,0.2,6.95,3.51,165.82,7.26,7.1,17.08
1895-06-01,4.7,0.2,0.2,7.04,3.52,166.78,7.1,7.27,17.21
1895-07-01,4.72,0.2,0.21,6.95,3.53,169.78,7.13,7.64,17.55
1895-08-01,4.79,0.2,0.22,6.85,3.54,174.69,7.17,8.02,18.07
1895-09-01,4.82,0.2,0.23,6.85,3.55,175.78,7.11,8.3,18.2
1895-10-01,4.75,0.19,0.23,6.85,3.56,173.23,7.05,8.57,17.94
1895-11-01,4.59,0.19,0.24,6.85,3.58,167.4,6.99,8.84,17.34
1895-12-01,4.32,0.19,0.25,6.76,3.59,159.77,7.03,9.25,16.55
1896-01-01,4.27,0.19,0.25,6.66,3.6,160.18,7.1,9.25,16.58
1896-02-01,4.45,0.19,0.24,6.57,3.58,169.35,7.17,9.26,17.52
1896-03-01,4.38,0.19,0.24,6.57,3.57,166.68,7.14,9.13,17.23
1896-04-01,4.42,0.19,0.24,6.47,3.55,170.68,7.21,9.14,17.64
1896-05-01,4.4,0.19,0.23,6.37,3.53,172.44,7.28,9.14,17.83
1896-06-01,4.32,0.18,0.23,6.28,3.52,171.87,7.36,9.15,17.78
1896-07-01,4.04,0.18,0.23,6.28,3.5,160.73,7.33,9.02,16.64
1896-08-01,3.81,0.18,0.22,6.28,3.48,151.58,7.29,8.88,15.7
1896-09-01,4.01,0.18,0.22,6.28,3.47,159.54,7.26,8.75,16.54
1896-10-01,4.1,0.18,0.22,6.47,3.45,158.32,7.02,8.37,16.44
1896-11-01,4.38,0.18,0.21,6.66,3.43,164.3,6.78,8,17.09
1896-12-01,4.22,0.18,0.21,6.66,3.42,158.3,6.75,7.88,16.5
1897-01-01,4.22,0.18,0.22,6.47,3.4,162.96,6.95,8.43,17.03
1897-02-01,4.18,0.18,0.23,6.47,3.4,161.41,6.95,8.75,16.89
1897-03-01,4.19,0.18,0.23,6.47,3.39,161.8,6.95,9.07,16.96
1897-04-01,4.06,0.18,0.24,6.37,3.39,159.12,7.05,9.54,16.7
1897-05-01,4.08,0.18,0.25,6.28,3.38,162.32,7.16,10.01,17.05
1897-06-01,4.27,0.18,0.26,6.28,3.38,169.88,7.16,10.34,17.85
1897-07-01,4.46,0.18,0.27,6.28,3.38,177.44,7.16,10.67,18.65
1897-08-01,4.75,0.18,0.28,6.57,3.37,180.76,6.85,10.53,19.01
1897-09-01,4.98,0.18,0.28,6.76,3.37,184.18,6.66,10.54,19.37
1897-10-01,4.82,0.18,0.29,6.66,3.36,180.81,6.75,11,19.03
1897-11-01,4.65,0.18,0.3,6.66,3.36,174.43,6.75,11.32,18.36
1897-12-01,4.75,0.18,0.31,6.66,3.35,178.18,6.75,11.63,18.75
1898-01-01,4.88,0.18,0.31,6.66,3.35,183.06,6.82,11.75,19.25
1898-02-01,4.87,0.18,0.32,6.76,3.33,180.11,6.78,11.71,18.92
1898-03-01,4.65,0.18,0.32,6.76,3.31,171.97,6.84,11.83,18.04
1898-04-01,4.57,0.19,0.32,6.76,3.29,169.01,6.9,11.96,17.71
1898-05-01,4.87,0.19,0.33,7.23,3.27,168.26,6.51,11.29,17.6
1898-06-01,5.06,0.19,0.33,6.76,3.25,187.14,7.03,12.2,19.54
1898-07-01,5.08,0.19,0.33,6.66,3.23,190.56,7.19,12.5,19.86
1898-08-01,5.27,0.19,0.34,6.66,3.2,197.69,7.25,12.63,20.54
1898-09-01,5.26,0.2,0.34,6.66,3.18,197.31,7.31,12.75,20.44
1898-10-01,5.15,0.2,0.34,6.66,3.16,193.19,7.38,12.88,19.95
1898-11-01,5.32,0.2,0.35,6.66,3.14,199.56,7.44,13.01,20.53
1898-12-01,5.65,0.2,0.35,6.76,3.12,208.96,7.4,12.94,21.4
1899-01-01,6.08,0.2,0.36,6.76,3.1,224.86,7.43,13.34,22.93
1899-02-01,6.31,0.2,0.37,6.95,3.1,226.97,7.26,13.37,23.05
1899-03-01,6.4,0.2,0.38,6.95,3.11,230.21,7.28,13.76,23.28
1899-04-01,6.48,0.2,0.39,7.04,3.11,229.94,7.21,13.96,23.15
1899-05-01,6.21,0.2,0.4,7.04,3.12,220.36,7.25,14.34,22.09
1899-06-01,6.07,0.2,0.41,7.14,3.12,212.52,7.18,14.53,21.21
1899-07-01,6.28,0.21,0.43,7.23,3.13,216.98,7.11,14.71,21.56
1899-08-01,6.44,0.21,0.44,7.33,3.13,219.61,7.05,14.89,21.73
1899-09-01,6.37,0.21,0.45,7.61,3.13,209.08,6.81,14.69,20.59
1899-10-01,6.34,0.21,0.46,7.71,3.14,205.53,6.75,14.86,20.15
1899-11-01,6.46,0.21,0.47,7.8,3.14,206.86,6.7,15.02,20.2
1899-12-01,6.02,0.21,0.48,7.9,3.15,190.45,6.64,15.19,18.51
